Restaurant Name,Most Popular Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
Cafe Illusions,Multi-cuisine,3.7,600,Dharampeth,Dharampeth,"Lad Apartment, Opposite Dharampeth High School, North Ambazari Road, Dharampeth, Nagpur",FALSE,0
The Good Bowl,Multi-cuisine,4,400,Sadar,Sadar,"Plot No 227/1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur 440001",FALSE,0
LunchBox - Meals and Thalis,Multi-cuisine,4,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",FALSE,0
Step Inn,North Indian,4,300,Gokulpeth,Dharampeth,"Law College Square, WHC Road, Dharampeth, Nagpur",FALSE,0
The Biryani Life,Biryani,3.7,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",FALSE,0
AB s-Absolute Barbecues,Multi-cuisine,3.7,400,Dharampeth,Dharampeth,"Plot No. 236, Survey No. 962, Street No. 15/24, West High Court, Dharampeth, Nagpur, Nagpur-1, Maharashtra,440010",FALSE,0
Zaffran Biryani,Biryani,3.3,250,Medical Square,Nandanvan,"221,near lal Bahadur shastri high school, Hanuman Nagar, Nagpur, Maharashtra 440009",FALSE,0
Hungama Shawarma & Shakes House,Fast Food,2.5,250,Dharampeth,Dharampeth,"HOUSE NO 213 ZENDA CHOWK NEAR GAJANAN MANDIR DHARAMPETH NAGPUR 440010, District - Nagpur-1, STATE - Maharashtra-440010",FALSE,0
Hungama Street Cafe,Multi-cuisine,3.2,300,Dharampeth,Dharampeth,"HOUSE NO 213 ZENDA CHOWK NEAR GAJANAN MANDIR DHARAMPETH NAGPUR , District - Nagpur-1, STATE - Maharashtra - 440010",FALSE,0
Chowringhee- Kathi Rolls And Kebabs,Fast Food,3.8,200,Sadar,Anjuman complex,Shop No. 4d Anjuman Complex Sadaar,FALSE,0
JD's Kitchen - The Rice Bowl Co.,Multi-cuisine,3.8,200,Ramdaspeth,"Kachipura Chowk, JD","Central Bazar Road, Kachipura Chowk, Nagpur",TRUE,0
The Brooklyn Creamery - Healthy Ice Cream,Desserts,4.3,200,Sadar,RESIDENCY ROAD,"BLOCK NO. 08, GROUND FLOOR, INDIRA ARCHADE, RESIDENCY ROAD, SADAR, NAGPUR , Zone no.10-Mangalwari , Nagpur urban, Nagpur-1, Maharashtra-440001.",FALSE,0
Maharaj Bag Lawn,Multi-cuisine,4.1,400,Gokulpeth,Dharampeth,"Amravati Road, Dharampeth, Nagpur",FALSE,0
SSDs Swad Ghar Ka,Multi-cuisine,3.8,200,Ramdaspeth,"Kachipura Chowk, SSD","Central Bazar Road, Kachipura Chowk, Nagpur",TRUE,0
Goli Vada Pav Dharampeth,Maharashtrian,4,250,Dharampeth,Dharampeth,"SMT KANCHAN JAISWAL M001 SUPRABHAT SANKUL PLOT NO 001 BUTY LAYOUT NAGPUR 440010, Zone no.2 -Dharampeth, Nagpur urban, Nagpur-1, Maharashtra - 440010",TRUE,0
Bowled It,Multi-cuisine,3.6,200,Ramdaspeth,"Kachipura Chowk, Bowled","Central Bazar Road, Kachipura Chowk, Nagpur",FALSE,0
Pizzzenia,Pizza,3.6,350,Byramji Town,Residency Road,"Panchminar Apartment, Koradi Rd, Chitnavis Nagar, Byramji Town, Nagpur, Maharashtra 440001",FALSE,0
Bawarchi Restaurant,Multi-cuisine,3.7,450,Khare Town,Dharampeth,"Vijay Arcade, North Ambazari Road, Shankar Nagar, Dharampeth, Nagpur",TRUE,0
La Pasta Fresca Deli,Fast Food,4.2,500,Dharampeth,dharampeth,"Plot 2, Bhagvaghar Layout, opposite Taori Marketing, Dharampeth, Nagpur, Maharashtra 440010",FALSE,0
Firangi Bake,Multi-cuisine,4.1,400,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",FALSE,0
The Common Ground Sports Cafe & Restro,Multi-cuisine,4.5,250,Bajaj Nagar,Bajaj Nagar,"Sahas Building, Plot No. 64, near Gasgodown, Bajaj nagar, Nagpur 440010",FALSE,0
Tattwam,Multi-cuisine,3.7,500,Ramdaspeth,Ramdaspeth,"Plot No.272, Manomay Plaza, Central Bazar Road, Ramdaspeth, Nagpur",TRUE,0
Icing On The Cake,Bakery,3.8,60,Dharampeth,Dharampeth,"Plot no.28, Gawlipura, Dharampeth, Nagpur-440010",FALSE,0
Mini Punjab,North Indian,3.7,600,Khare Town,Dharampeth,"Suprabhath Apartment, Near WHC Road, Dharampeth, Nagpur",FALSE,0
Natural Ice Cream,Desserts,4.1,150,Sadar,Sadar,"H.NO.298, AZAD CHOWK, SADAR, NAGPUR, Nagpur-1, Maharashtra- 44001",TRUE,0
Shahi Haandi Kebab & Biryani,Multi-cuisine,4.1,300,Gokulpeth,Dharampeth,"Plot No 55, Flat No 102  Satyam Apartment Canal Road Gokulpeth Nagpur, Nagpur Urban, Nagpur-1 (Maharashtra)",FALSE,0
JDS  JUST  DESSERTZ,Desserts,4.2,300,Civil Lines,Dharampeth,"C/o. LAMBA TRADERS PETROL PUMP, NEAR R.T.O., AMRAVATI ROAD,NAGPUR	440011",FALSE,0
Mustard Restro Lounge And Bar,Multi-cuisine,3.3,800,Dharampeth,C/o Bawarchi Restaurant,"C/o Bawarchi Restaurant, Vijay Arcade, North Ambazari Road, Shankar Nagar, Dharampeth, Nagpur",FALSE,0
Mocha,Multi-cuisine,4,1400,Khare Town,Dharampeth,"202, Cement Road, Shankar Nagar, Dharampeth, Nagpur",FALSE,0
TKG-The Kebab Guy,Fast Food,4.6,400,Byramji Town,Sadar,"36, Koradi Rd, Byramji Town, Nagpur, Maharashtra 440013, India",FALSE,0
Falani Mastani,Beverages,4.2,300,Khare Town,Dharampeth,"(Dairy Don) Namos Food Court, Madhumadhav Tower, Laxmi Bhawan Square, Dharampeth, Nagpur",TRUE,0
Three Beans,Fast Food,4,500,Dharampeth,Dharampeth,"Janki Apartments,Beside Accounting Academy, Dharampeth, Nagpur",FALSE,0
Golgappa Express,Fast Food,4,150,Dharampeth,Dharampeth,"Desi food court, Swapnil Rajni Apartment, W High Ct Rd, Dharampeth Extension, Dharampeth, Nagpur",FALSE,0
Punjabi Chaap corner,Fast Food,3.5,300,Sadar,Dharampeth,Plot no. 1058 Azad Chowk Sadar nagpur 440001,FALSE,0
Pablo - The Art Cafe' Lounge,Multi-cuisine,3.5,500,Civil Lines,Civil Lines,"240a, E High Ct Rd, Civil Lines, Nagpur, Maharashtra 440001",FALSE,0
Cluckers Fried Chicken Restaurant,Fast Food,4.3,250,Byramji Town,Sadar,"Shop no 22,23 , poonam chamber, Near Monte Carlo , above Dominos",FALSE,0
SWADESH RASOI,North Indian,3.6,500,Mahal,Nandanvan,911 old mangalwari pandit pura Paunikar house,FALSE,0
Barbecue Express Delivery,Multi-cuisine,4.1,200,Dharampeth,Dharampeth,"Flat no. 102, Satyam Apartment, Canal Road, Gokulpeth, Nagpur",FALSE,0
Eat Street Express,Multi-cuisine,3.7,250,Dharampeth,Law College Square,"Law College Square, WHC Road, Dharampeth, Nagpur",FALSE,0
Collective Blends,Multi-cuisine,4.4,300,Khare Town,Dharampeth,"23B, near HDFC bank, Om Sai Nagar, Shivaji Nagar, Nagpur, Maharashtra 440010",FALSE,0
Mad About Coffee,Beverages,4.2,200,Dharampeth,Dharampeth,"SHOP NO 5 CHANDRA BHAWAN ZONE NO 2 DHARAMPETH Nagpur urban, Nagpur-1, Maharashtra-440010",TRUE,0
Fuel Headquaters,Fast Food,4,250,Bajaj Nagar,Laxminagar Mate Sqare Road,"Beside Vijaya Bank, Laxminagar Mate Sqare Road, Bajaj Nagar, Nagpur",FALSE,0
Shreenath Food Joint,Fast Food,3.7,150,Futala,Bharat nagar,"Shop 1, Ganesh Tower, Bharat Nagar, Sq,Amrawati Rd, Vayusena Nagar",TRUE,0
Laziz Affair,Fast Food,2.8,350,Byramji Town,Sadar,"Opposite Chhoroni Masjid, Sadar, Nagpur",FALSE,0
Express By Abs,Multi-cuisine,3.4,400,Gokulpeth,Dharampeth,"NO. 15, SURVEY NO. 962, STREET, 24, W High Ct Rd, Dharampeth, Nagpur, Maharashtra 440010",FALSE,0
Mirchi Masala Saoji,Maharashtrian,3.4,200,Ramdaspeth,Bajaj Nagar,"C/o Sujal Saoji, 201, Central Bazar Road, Bajaj Nagar, Nagpur",FALSE,0
The Food Smugglers,Multi-cuisine,3.2,200,Ramdaspeth,"Kachipura Chowk, Smuggler","Central Bazar Road, Kachipura Chowk, Nagpur",FALSE,0
Sardar Ji Ki Rasoi,North Indian,3.9,300,Ramdaspeth,Ramdaspeth,"Central Bazaar Road, Shankar Nagar, Ramdaspeth, Nagpur",FALSE,0
MS CHAAP CORNER,Fast Food,4.3,250,Nandanvan,Nandanvan,"MS CHAAP CORNER, New Nandanvan Layout, Nandanvan, Nagpur, Maharashtra, India",TRUE,0
Dosa Plaza,South Indian,3.6,200,Ravi nagar,Dharampeth,"UNIT NO. 1&2, THAKUR APARTMENT, AMRAVATI ROAD, NAGPUR, District - Nagpur-1, STATE - Maharashtra,440010",TRUE,0
NIC Natural Ice Creams,Desserts,4.5,120,Nagpur,Achraj Towers Katol Road,"Shop No. G-301, Achraj Towers Katol Road, Chindwada Rd, Sadar, Nagpur, Maharashtra 440013",TRUE,0
Biryani Bazar By Kilo,Biryani,4.4,200,Dharampeth,Dharampeth,"Flat no 102, Satyam Apartment Canal road, Gokulpeth, Nagpur, Nagpur urban, Nagpur-1 (Maharashtra)",FALSE,0
Open House,Chinese,3.9,400,Bajaj Nagar,Bajaj Nagar,"63, Bajaj Nagar, Nagpur",TRUE,0
Khandeshi Tadka,Maharashtrian,3.6,200,Gokulpeth,Dharampeth,"PLOT NO. 137, NEAR WALMIKI NAGAR, SHANKAR NAGAR NAGPUR",TRUE,0
Maharashtrian Aaswad,Maharashtrian,3.1,200,Gokulpeth,Dharampeth,"Plot No. 137, Near Walmiki Nagar, Shankar Nagar Nagpur",TRUE,0
Venom's Tomando Cafe,Fast Food,3.9,300,Nandanvan,Nandanvan,"Old Bagdganj, Gangabai Ghat Road, Nagpur -440008",FALSE,0
Bouffage Cafe & Bistro,Multi-cuisine,3.9,500,Shankar Nagar Square,Dharampeth,"Wockhart HospitL Lane, Near L.A.D College, Shankar Nagar , Dharampeth, Nagpur",FALSE,0
Pappe-Da Restaurant,North Indian,4.2,400,Nandanvan,Gandhibagh,"Opposite Tulsi Building, Lakadganj, Nagpur,Nandanvan,Nagpur",FALSE,0
Bombay Kulfi,Desserts,4.3,150,Dharampeth,Dharampeth,"285, Buty Plot, Hanuman Mandir Rd, Beside Gokul Vrindavan, Dharampeth, Nagpur",TRUE,0
Shrikhandwala,Desserts,4.8,200,Pratap Nagar,Pratap Nagar,"Vitthal Rukhmini Complex, Upper Floor, Laxmi Nagar Main Road, Opp. Ginger Garlic Restaurant, Nagpur - 440022",TRUE,0
The Chocolate Room,Multi-cuisine,3.9,300,Ravi nagar,Dharampeth,"PLOT NO.4-A,GURUSHANKAR APARTMENT,TILAK NAGAR,AMRAVATI ROAD,NAGPUR, District - Nagpur-1, STATE - Maharashtra",FALSE,0
Chaat Shaala,Fast Food,3.8,200,Ravi Nagar,Ravinagar,"Shop no 1,thakur apartment,tilak nagar square,amravati rd",TRUE,0
Variety Foods,Multi-cuisine,4.1,200,Vivekanand Nagar,"W High Court Road, Surendra Nagar","Plot Number 37, Devashish Apartment, W High Court Road, Surendra Nagar, Vivekanand Nagar, Nagpur",TRUE,0
Ajit Bakery- Ajni Square,Bakery,4.4,250,Ajni,Wardha road,"4,Divadkar Complex,Wardha Road",FALSE,0
Taste Of Kerala And Co,South Indian,4.1,200,Byramji Town,Sadar," Block No20 ,Ternament Bldg ,Jagat APT ,Bairamji Town Zone no.10. Mangalwari, Nagpur urban, Nagpur-1,Maharashtra-440013",FALSE,0
Dahiya Momos (Bajaj Nagar),North Indian,4.4,200,Bajaj Nagar,Dharampeth,"PLOT NO 10, ABHYANKAR NAGAR NAGPUR",FALSE,0
Mezbaan,Multi-cuisine,3.4,400,Dharampeth,Dharampeth,"20, SHIVSHANKAR APARTMENT, SHANKAR NAGAR, NAGPUR- 440010, ZONE NO. 2- DHARAMPETH, NAGPUR(URBAN), NAGPUR, MAHARASHTRA- 440010",FALSE,0
Eats And Treats,Multi-cuisine,4.3,300,Nandanvan,Nandanvan,"Nandanvanam Main Rd, near Nirmal Bank, New Nandanvan Layout, Jawahar Nagar, Nandanvan, Nagpur, Maharashtra",TRUE,0
JD's Dessert Boutique,Desserts,4.3,250,Byramji Town,Sadar,"9, Achraj Retreat, Nelson Square, Sadar, Nagpur",FALSE,0
Annapurna Restaurants,Multi-cuisine,4.1,500,Shashtri Nagar,CA road,"Ambedkar Chowk, CA Road, Nagpur",FALSE,0
Gurpal Foods,North Indian,3.7,300,Indora Chowk,Indora Chowk,"Kamal Bar & Restaurant, Indora Chowk, Nagpur",FALSE,0
Goli Vada Pav - Chaprunagar Sq.,Maharashtrian,3.8,100,Chaprunagar Square - Lakadganj,Lakadganj,"Chapru Lok Building, Lakadganj, Nagpur",TRUE,0
Crostino,Beverages,3.7,300,C A Road,Nandanvan,"329/B, Sharda Chowk, Ganesh Nagar, Nandanvan, Nagpur",TRUE,0
Supr Baker,Bakery,3.8,400,Khare Town,Dharampeth,"shop no 9, ramdaspeth sq, dharampeth",TRUE,0
RajKamal Mess & Restaurant,North Indian,3.9,200,Gokulpeth,Ravi Nagar,"Plot No.80, Hill Road, Ramnagar, Ravi Nagar, Nagpur",FALSE,0
Babulal Ki Kachori,Fast Food,4,150,Dharampeth,Dharampeth,"634 F/40, Shankar Nagar, Nagpur 440010",FALSE,0
The Pizza Project,Pizza,3.9,350,Khare Town,Bajaj Nagar,"MNC HSG.NO.251/2,PLOT NO.1,SWAPNIL RAJNI APARTMENT,SHOP NO.2 GROUND FLOOR,WHC ROAD,BESIDE CHAVHAN HA, Nagpur urban, Nagpur-1 (Maharashtra), - 440010",FALSE,0
China Express,Chinese,3.6,300,Mahal,Nandanvan,"388,old Bagadganj,Near NIT Hall,Nagpur",FALSE,0
PLAN B BURGER BAR,Fast Food,4.2,800,Bajaj Nagar,Bajaj Nagar,"BURGER BAR,VEDANT PERIDOT,UPPER  GROUND FLOOR CENTRAL BAZAAR  ROAD,BAJAJ NAGAR, Nagpur urban, Nagpur-1,  Maharashtra-440027",FALSE,0
Anna The Restaurant,Multi-cuisine,4,400,Bajaj Nagar,Bajaj Nagar,"Plot 42, Central Bazar Road, Utakarsh, Bajaj Nagar, Nagpur",FALSE,0
Tanjore - Enter the Deccan,South Indian,4.2,300,Bajaj Nagar,Bajaj Nagar,"Ground Floor, Pathak House, Abhyankar Nagar Road, Near VNIT, Bajaj Nagar, Nagpur,Bajaj Nagar,Nagpur",TRUE,0
Mayura Chinese Fast Food & Juice,Chinese,3.7,250,C A Road,Wardhaman Nagar,"Mayura fast food, 137 nandanvan main road nagpur opp Shravan hospital, Nagpur",TRUE,0
Bangali Babu Sandwich,Fast Food,3.8,200,Khare Town,Dharampeth,"Shop no1, madhu madhav tower, laxmi bhavan sq, near gokulpeth market , dharampeth , Nagpur",FALSE,0
Le Coquet,Bakery,3.5,300,Dharampeth,Dharampeth,"Shop G5, Indu Yash Complex, Cement Road, Ram Nagar Square, Dharampeth Extension - 440010",FALSE,0
Kareems,Multi-cuisine,4,300,Byramji Town,Sadar,"Ground Floor, Aman Lifestyle Nelson Square, Rajnagar, Sadar, Nagpur",FALSE,0
Buland Darbar,Multi-cuisine,4,200,Bajaj Nagar,Bajaj Nagar,"Plot 178, Near Basketball Ground, Bajaj Nagar, Nagpur, Maharashtra 440010, India",FALSE,0
Pintu Saoji Restaurant,Maharashtrian,3.6,400,Mahal,Wardhaman Nagar,"C.A. Road,Telephone Exchange Square, Juni Mangalwadi, Jaisao Wadi,Lakadganj, Nagpur",FALSE,0
UFO Fries & Corn,Fast Food,4.1,280,Bajaj Nagar,Nagpur,PLOT NO 43 GROUND FLOOR SHOP BAJAJ NAGAR NEAR VNIT NAGPUR NAGPUR CITY MAHARASHTRA ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,TRUE,0
Aaicha Swayampak Maharashtrian Restaurant,Maharashtrian,4,350,Wardha Road,Chatrapati Nagar,"4, Akshat Apartments, Chhatrapati Nagar, Doctors Colony, Nagpur",TRUE,0
Hot Sandwiches,Fast Food,2.9,350,Mahal,Wardhaman Nagar,"Plot no 370,Garoba Maidan,Chhapru Nagar,Thakre Rickshaw Garage",TRUE,0
The Pancake Story,Bakery,4.5,300,Bajaj Nagar,Bajaj Nagar,"84 & 85, Pathak House, Abhyankar Nagar, Bajaj Nagar, Nagpur",FALSE,0
We Feed More,North Indian,4.3,200,LAXMI NAGAR,Dharampeth,275 Anant Kamal Complex Laxmi Nagar Nagpur 440022,FALSE,0
Grameen Kulfi,Desserts,4.6,120,Chindwada,Achraj Towers Katol Road,"Shop No. G-301, Achraj Towers Katol Road, Chindwada Rd, Sadar, Nagpur, Maharashtra 440013",TRUE,0
Venu Corner,Multi-cuisine,3.7,250,Rameshwari,Ayodhya Nagar,"Manewada Road, Bhoyar Layout, Ulhas Nagar, Rameshwari, Nagpur",FALSE,0
Food Mohalla,Multi-cuisine,3,300,Bajaj Nagar,Bajaj Nagar,"Plot no.8, Abhinav Sankul, Abhyankar Nagar Road, Nagpur",FALSE,0
Goli Vada Pav No. 1- Manewada Road,Maharashtrian,4.3,100,Rameshwari,Manewada,Jawahar nagar opp union bank Manewada road nagpur. Shop no.1. Goli vada pav. No.1,TRUE,0
NAMASTE MEXICO,Mexican,3.8,200,Nandanvan,Nandanvan,"454, ANAND NAGAR, TIRANGA CHOWK TOWARDS SAKARDARA POLICE STATION ROAD NAGPUR 	440009",TRUE,0
Ruchkar Assal Maharashtrian Vyanjan,Maharashtrian,4.2,250,Bajaj Nagar,bajaj nagar,"218, South Ambazari Road, Near Vijaya Bank, Bajaj Nagar, Nagpur",FALSE,0
Goli Vada Pav Abhiyankar Nagar,Maharashtrian,4.1,250,Abhiyankar,Bajaj nagar,"SHOP NO 01 ABHINAV SANKUL APARTMENT BESINDE PATAK HOUSE ABHIYANKAR NAGAR ROAD BAJAJ NAGAR NAGPUR , Zone no.1 -Laxminagar, Nagpur urban, Nagpur-1, Maharashtra - 440011",TRUE,0
Sandwich Story,Fast Food,3.5,200,Dharampeth,Dharampeth,"C/O. WAMAN U PAPADKAR, 189 RAM NAGAR, PLOE NO. 506 C, NAGPUR, Zone no.2 -Dharampeth, Nagpur urban,Nagpur-1, Maharashtra - 440010",FALSE,0
Mad Over Pizza,Pizza,2.8,200,Dharampeth,Dharampeth,"C/o Waman U Papadkar, 189 Ram Nagar, Ploe no 506 C, nagpur one no. 2, Dharampeth, nagpur",FALSE,0
Rajesh Samosa,Fast Food,4.3,100,Wardha Road,Vivekanand Nagar,"Deo Nagar, Near Vivekanand Nagar, Nagpur",TRUE,0
Maharashtrian Swayampak Ghar,Maharashtrian,3.7,250,Bajaj Nagar,Bajaj Nagar,"218, Abhyankar Nagar Ext., Abhyankar Nagar, Nagpur",TRUE,0
Holy Oregano,Pizza,4,300,Ayodhya Nagar,Nandanvan,"Space Tower, Maharashtra Major State Highway 9, Ayurvedic Layout, Raghuji Nagar, Nagpur, Maharashtra, India",FALSE,0
OYE Its Sandwich,Fast Food,3,250,Mahal,Nandanvan,"388,Old Bagadganj,Near N.I.T Hall,Nagpur, District - Nagpur-1, STATE - Maharashtra",FALSE,0
Sheru bhai biryani center and tandoori chicken,Biryani,4.1,300,Ayodhya Nagar,Ayodhya Nagar,"Plot no 13 NILKANTH APARTMENT OPP NIT GARDEN DATTATRAYA NAGAR , Nagpur (Urban), Nagpur, Maharashtra,440024",FALSE,0
Aashni's House Of Pizza,Pizza,3.6,200,Rameshwari,Ayodhya Nagar,"B177, Space Tower, Ayurvedic Layout, Bhande Plot Chowk, Sakkardara, Nagpur",FALSE,0
Varhadi Pahunchar,Maharashtrian,4.2,250,Bajaj Nagar,Bajaj Nagar,"218, Abhyankar Nagar Ext, Ahyankar Nagar, Nagpur",FALSE,0
Chai Choupati,Fast Food,4.2,400,Nandanvan,Nandanvan,"Plot 184, Near Jain Dairy, Nandanvan Main Road, Nandanvan, Nagpur",FALSE,0
MCD Burger,Fast Food,2.2,200,Dharampeth,Dharampeth,"C/O. WAMAN U PAPADKAR, 189 RAM NAGAR, PLOE NO. 506 C, NAGPUR, Zone no.2 -Dharampeth, Nagpur urban,Nagpur-1, Maharashtra - 440010",FALSE,0
Think Burger,Fast Food,3.2,200,Dharampeth,Dharampeth,"C/O. WAMAN U PAPADKAR, 189 RAM NAGAR, PLOE NO. 506 C, NAGPUR, Zone no.2 -Dharampeth, Nagpur urban,Nagpur-1, Maharashtra - 440010",FALSE,0
Laziz Food,North Indian,4.1,300,Bhagwan Nagar,Ayodhya Nagar,4&5 Shop no 1 Shivshakti Apartment Banerjee Layout Babulkheda Trisharan Chowk Bhagwan Nagar Nagpur 440027.,FALSE,0
The Chappru Street,Fast Food,3.5,400,Nandanvan,Nandanvan,"Shop No.10, Chaapru Lok Building, Chaapru square, opp Kotak Mahindra Bank Lakadganj, Nagpur, Maharashtra 440008, India",FALSE,0
Spicy Fast Food,Fast Food,3.9,200,Ravi Nagar,Bharat Nagar,Shop No1  bharat nagar amravati road Nagpur,FALSE,0
Pankaj Chat Center,Fast Food,4.3,100,Dharampeth,Dharampeth,"ABHYANKAR NAGAR ROAD ABHYANKAR NAGAR NAGPUR NAGPUR URBAN NAGPUR MAHARASHTRA, 440010",TRUE,0
Desi Grill,Fast Food,3.7,250,C A Road,Nandanvan,"493-494, Nehru Nagar, Nandanvan Main Road, Nandanvan, Nagpur",FALSE,0
Shri Ratlam Namkin,Fast Food,4.1,250,C A Road,Ayodhya Nagar,Tiranga Chowk Near Sangam Talkies  Nandanvan  Nagpur,TRUE,0
Pahunchar The Family Restaurant,North Indian,4.2,300,Nandanvan,Nandanvan,"40024, Guru Dev Nagar, Bapu Nagar, Nandanvan, Nagpur",FALSE,0
Creamland Thickshakes,Beverages,1.6,200,Dharampeth,Dharampeth,"C/O. WAMAN U PAPADKAR, 189 RAM NAGAR, PLOE NO. 506 C, NAGPUR, Zone no.2 -Dharampeth, Nagpur urban,Nagpur-1, Maharashtra - 440010",FALSE,0
Bagelo Escobar,Mexican,3.8,200,Bajaj Nagar,Dharampeth,"Plot No.44 VNIT Road , BAjaj Nagar nagpur -440010",FALSE,0
Sandwich Centre,Fast Food,4.2,400,Ayodhya Nagar,Ayodhya Nagar,"Plot 96, Dattatray Nagar, Near Sarveshwar Mandir, Behind Sakkardara Telephone Exchange, Ayodhya Nagar, Nagpur",TRUE,0
New RPS Fast Food,Fast Food,4,200,Chatrapati Nagar,Chatrapati Nagar,"Near chhatrapati Hall, Ring road, Chatrapati Nagar Nagpur 440015",FALSE,0
Indian Roti,North Indian,4.5,250,Indora Chowk,Nit Garden,"Plot no. 1003, Near Buddha Park, Buddha Nagar, Nagpur",TRUE,0
Sandwich Factory,Fast Food,3.8,200,Gokulpeth,Bajaj Nagar,Ho No 1367/85 Ujwal co op society bajiprabhu nagar Nagpur 440010,FALSE,0
MJ'S SOYA CHAAP CORNER,Fast Food,3.9,260,Wardhaman Nagar,Wardhaman Nagar,"Shop No. 3, Wing No. 3, Ambedkar Chowk, CA Road, Nagpur, Nagpur (Urban), Nagpur, Maharashtra-440008",TRUE,0
Chicago Pizza Lounge,Pizza,5,350,Bajaj Nagar,Bajaj Nagar,"Admaark Junxion, Ground Floor, Plot No. 275, WHC Road, Laxmi Nagar, Nagpur (Urban), Nagpur, Maharashtra-440022",FALSE,0
Badshah Biryani,Biryani,3.8,200,Gokulpeth,Dharampeth,"H. NO, 1367/85 UJJWAL CO-OP HOUSING SOCIETY BAJI PRABHU NAGAR RAM NAGAR , NAGPUR, 440010",FALSE,0
7 Days Pure Veg Restaurant,Multi-cuisine,3.7,300,Janta Chowk,Jaripatka,"Near Dayanand Park, Jaripatka, Nagpur",FALSE,0
Amrut,Multi-cuisine,4.2,300,Jaripatka,Sadar,SHOP NO 468 MANIN BAZAR ROAD NEXT TO SHANKAR ANAJ BHANDAR JARIPATKA NAGPUR 440014,FALSE,0
Villa 167,Multi-cuisine,3.9,200,Bajaj Nagar,Dharampeth,"PLOT NO 167 BEHIND TANJORE ABHYANKAR NAGAR NAGPUR , District - Nagpur-1, Maharashtra-440010",FALSE,0
Shruti Food Express,Multi-cuisine,4.2,300,Pratap Nagar,Pratap Nagar,"In front of Shruti Veg, Surendranagar Road, West High Court Road, Surendra Nagar, Vivekanand Nagar, Nagpur",TRUE,0
Maher Maa Ki Rasoi,North Indian,4.4,200,Rameshwari,Ayodhya Nagar,"Krushna Kamal Apartments, Chota Tajbaug Square, Ayodhya Nagar, Nagpur",TRUE,0
GRILLIFY,Multi-cuisine,3.5,200,Laxminagar,"Besides Burger Singh, ShraddhanandPeth","F C 02, 3 ROAD FLOOR, VR MALL, MEDICAL  SQUARE, NAGPUR, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1,  Maharashtra-440012",FALSE,0
Top N Town,Desserts,4.4,100,Sadar,Jaripatka,"130, Kamal Phool Chowk, Jaripatka, Nagpur",FALSE,0
I Love Momo,Fast Food,4,200,Pratap nagar,Opp. Prasadham Restaurant,"Plot no.10, Gittikhadan Layout, Kotwal Nagar, Pratap Nagar, Nagpur",FALSE,0
Two Joes,Multi-cuisine,4.2,600,Bajaj Nagar,Bajaj Nagar,"81, Abhyankar Nagar, Nagpur, Maharashtra 440010, India",FALSE,0
Thambii By Juhi's Kitchen,South Indian,4,150,Bajaj Nagar,"Madhav Nagar, Thambii By Juhi's Kitchen","Plot no. 2/a/2, Kala Kunj, Near JP Chamber, dongre layout, madhav nagar, nagpur",TRUE,0
Food Southee,South Indian,3.1,200,Laxminagar,laxmi nagar,"E/553,Near Korona House Laxminagar Besides jain mandir nagpur 440022",FALSE,0
Melting World,Fast Food,4,300,Ayodhya Nagar,Ayodhya Nagar,"MT. MANDANKINI BHASKARRAO JIVANKAR, KHANKHOJE NAGAR, MANEWADA ROAD, NAGPUR, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1, Maharashtra - 440027",FALSE,0
Singh's and Ching's,North Indian,3.7,200,Gokulpeth,Dharampeth,"HOUSE NO 1367/85 UJJWAL CO OPERATIVE HOUSING SOCIETY, BAJI PRABHU NAGAR, RAM NAGAR, NAGPUR 440010, District - Nagpur-1, STATE - Maharashtra",FALSE,0
Juhi's Kitchen,North Indian,3.9,400,Bajaj Nagar,"Madhav Nagar, Juhi's Kitchen","2/A, Kalakunj, Madhav Nagar, 2/A, Kalakunj, Madhav Nagar, South Ambazari Road,Nagpur, Nagpur",FALSE,0
Wraps N Rolls,Fast Food,3.9,200,Gokulpeth,Dharampeth,"H. NO,1367/85  UJJWAL  CO-OP  HOUSING  SOCIETY  BAJI  PRABHU  NAGAR  RAM  NAGAR  ,NAGPUR, - 440010",FALSE,0
Yakhani Biryani,Biryani,4,200,Bajaj Nagar,Bajaj Nagar,"Shri Ganesh Vighnaharta Apartments, 107, S Ambazari Rd, Opp.Domino's, Mate Square, Laxminagar, Nagpur, Maharashtra 440010, India",FALSE,0
Maa Ki Rasoi,North Indian,3.7,300,Dharampeth,Dharampeth," 160, Abhyankar  nagar, near volley ball ground, Nagpur - 440010",TRUE,0
